Name	Raw_1	Raw_2	Derep_1	Derep_2	Bmtagger_1	Bmtagger_2	Trimmo_1	Trimmo_2	Trimmo_solo_1	Trimmo_solo_2
SRR2193539	4768716.0	4768716.0	4760965.0	4760965.0	4760136.0	4760136.0	3594412.0	3594412.0	377724.0	167359.0
SRR2193889	2960644.0	2960644.0	2956579.0	2956579.0	2881884.0	2881884.0	2154067.0	2154067.0	226385.0	96795.0
SRR2193944	2320899.0	2320899.0	2317027.0	2317027.0	2212496.0	2212496.0	1639906.0	1639906.0	172637.0	69167.0
SRR2193362	902462.0	902462.0	901169.0	901169.0	758375.0	758375.0	486056.0	486056.0	57262.0	21297.0
SRR2191162	6621655.0	6621655.0	6612747.0	6612747.0	6609931.0	6609931.0	4864307.0	4864307.0	585892.0	228231.0
SRR2191104	5703854.0	5703854.0	5691751.0	5691751.0	5660440.0	5660440.0	4242374.0	4242374.0	453807.0	203358.0
SRR2191120	5906414.0	5906414.0	5896822.0	5896822.0	5895631.0	5895631.0	4389077.0	4389077.0	528758.0	189824.0
SRR2191167	5996599.0	5996599.0	5988940.0	5988940.0	5987056.0	5987056.0	4333942.0	4333942.0	494810.0	199664.0
SRR2193357	3453939.0	3453939.0	3448588.0	3448588.0	3379853.0	3379853.0	2492755.0	2492755.0	279515.0	107522.0
SRR2191118	5291164.0	5291164.0	5281748.0	5281748.0	5280070.0	5280070.0	4017348.0	4017348.0	445746.0	168648.0
SRR2191481	5806391.0	5806391.0	5796584.0	5796584.0	5795471.0	5795471.0	4288398.0	4288398.0	479031.0	190358.0
SRR2193568	5968877.0	5968877.0	5955206.0	5955206.0	5954065.0	5954065.0	4425014.0	4425014.0	485284.0	219288.0
SRR2193823	5890237.0	5890237.0	5881922.0	5881922.0	5880749.0	5880749.0	4334526.0	4334526.0	523549.0	199927.0
SRR2193932	5010633.0	5010633.0	5001858.0	5001858.0	4969084.0	4969084.0	3737979.0	3737979.0	393308.0	177199.0
SRR2221489	5135642.0	5135642.0	5129103.0	5129103.0	5127606.0	5127606.0	4290896.0	4290896.0	247393.0	152550.0
SRR2221483	5134317.0	5134317.0	5126496.0	5126496.0	5124969.0	5124969.0	4302509.0	4302509.0	237478.0	153017.0
SRR2221885	5213906.0	5213906.0	5204903.0	5204903.0	5203395.0	5203395.0	4285326.0	4285326.0	271780.0	163566.0
SRR2221751	5059045.0	5059045.0	5050305.0	5050305.0	5048735.0	5048735.0	4242961.0	4242961.0	239415.0	146649.0
SRR2194602	6247339.0	6247339.0	6236376.0	6236376.0	6235235.0	6235235.0	4679483.0	4679483.0	509718.0	215616.0
SRR2221749	5169104.0	5169104.0	5162368.0	5162368.0	5160642.0	5160642.0	4222894.0	4222894.0	280097.0	160098.0
SRR2221880	5041250.0	5041250.0	5035456.0	5035456.0	5033849.0	5033849.0	4196722.0	4196722.0	244146.0	148919.0
SRR2221486	4972902.0	4972902.0	4966532.0	4966532.0	4964849.0	4964849.0	4143824.0	4143824.0	244969.0	143418.0
SRR2221687	5053536.0	5053536.0	5048752.0	5048752.0	5047040.0	5047040.0	4195599.0	4195599.0	253241.0	149591.0
SRR2223599	5166677.0	5166677.0	5161885.0	5161885.0	5160817.0	5160817.0	4219416.0	4219416.0	301743.0	155274.0
SRR2223748	5149948.0	5149948.0	5144274.0	5144274.0	5143200.0	5143200.0	4221168.0	4221168.0	289443.0	153679.0
SRR2223923	5075677.0	5075677.0	5069162.0	5069162.0	5068073.0	5068073.0	4161012.0	4161012.0	290948.0	148875.0
SRR2224038	5269525.0	5269525.0	5262852.0	5262852.0	5261785.0	5261785.0	4235523.0	4235523.0	328125.0	165813.0
SRR2223862	413544.0	413544.0	413066.0	413066.0	311219.0	311219.0	210300.0	210300.0	16490.0	7639.0
SRR2223678	433926.0	433926.0	433441.0	433441.0	328259.0	328259.0	213732.0	213732.0	18650.0	8709.0
SRR2223611	420923.0	420923.0	420597.0	420597.0	318606.0	318606.0	214195.0	214195.0	17484.0	8171.0
SRR2223569	419214.0	419214.0	418803.0	418803.0	316797.0	316797.0	213355.0	213355.0	16763.0	8202.0
SRR2199567	5489002.0	5489002.0	5481020.0	5481020.0	5480098.0	5480098.0	4105110.0	4105110.0	452623.0	184142.0
SRR2223614	5233219.0	5233219.0	5225148.0	5225148.0	5223489.0	5223489.0	4258162.0	4258162.0	281449.0	161244.0
SRR2223610	5123849.0	5123849.0	5118063.0	5118063.0	5116411.0	5116411.0	4235792.0	4235792.0	254154.0	150790.0
SRR2223885	5106211.0	5106211.0	5099393.0	5099393.0	5097778.0	5097778.0	4232739.0	4232739.0	243857.0	150630.0
SRR2223679	5040940.0	5040940.0	5033357.0	5033357.0	5031675.0	5031675.0	4180391.0	4180391.0	245110.0	145267.0
SRR2198982	10877115.0	10877115.0	10849702.0	10849702.0	10847104.0	10847104.0	8194081.0	8194081.0	901967.0	350212.0
SRR2199220	6362957.0	6362957.0	6349371.0	6349371.0	6339144.0	6339144.0	4683209.0	4683209.0	561510.0	196460.0
SRR2221882	2532106.0	2532106.0	2529016.0	2529016.0	2454419.0	2454419.0	2034992.0	2034992.0	118674.0	68400.0
SRR2221865	2597788.0	2597788.0	2594157.0	2594157.0	2517926.0	2517926.0	2044939.0	2044939.0	136536.0	73540.0
SRR2221666	2498387.0	2498387.0	2494993.0	2494993.0	2420249.0	2420249.0	2008274.0	2008274.0	119509.0	65433.0
SRR2221495	2547382.0	2547382.0	2544752.0	2544752.0	2470211.0	2470211.0	2041918.0	2041918.0	123375.0	68759.0
SRR2199346	5364151.0	5364151.0	5355461.0	5355461.0	5354347.0	5354347.0	4036430.0	4036430.0	432983.0	173130.0
SRR2221494	4989381.0	4989381.0	4979982.0	4979982.0	4978989.0	4978989.0	4021675.0	4021675.0	285011.0	164090.0
SRR2221637	4926195.0	4926195.0	4918279.0	4918279.0	4917296.0	4917296.0	4048578.0	4048578.0	251880.0	154851.0
SRR2221723	4933606.0	4933606.0	4926891.0	4926891.0	4925922.0	4925922.0	4042364.0	4042364.0	262366.0	154938.0
SRR2221879	4853774.0	4853774.0	4844956.0	4844956.0	4843910.0	4843910.0	3990210.0	3990210.0	253600.0	149305.0
SRR2194935	5542146.0	5542146.0	5533938.0	5533938.0	5532611.0	5532611.0	4134214.0	4134214.0	469681.0	177884.0
SRR2221896	5223198.0	5223198.0	5216477.0	5216477.0	5215519.0	5215519.0	4334652.0	4334652.0	257426.0	158927.0
SRR2221610	5209943.0	5209943.0	5204196.0	5204196.0	5203310.0	5203310.0	4310056.0	4310056.0	267166.0	158527.0
SRR2221497	5141808.0	5141808.0	5134297.0	5134297.0	5133301.0	5133301.0	4268591.0	4268591.0	257578.0	152758.0
SRR2221470	5284590.0	5284590.0	5276946.0	5276946.0	5276008.0	5276008.0	4305911.0	4305911.0	291081.0	168972.0
SRR2223745	4695005.0	4695005.0	4690192.0	4690192.0	4689495.0	4689495.0	3919882.0	3919882.0	237047.0	129811.0
SRR2224046	4612234.0	4612234.0	4605793.0	4605793.0	4605030.0	4605030.0	3865468.0	3865468.0	229367.0	123764.0
SRR2224053	4679023.0	4679023.0	4673322.0	4673322.0	4672681.0	4672681.0	3918568.0	3918568.0	228058.0	129711.0
SRR2224055	4778124.0	4778124.0	4771327.0	4771327.0	4770642.0	4770642.0	3924179.0	3924179.0	262766.0	139179.0
SRR2199612	5728906.0	5728906.0	5720601.0	5720601.0	5718641.0	5718641.0	4300290.0	4300290.0	461092.0	193167.0
SRR2221831	5194702.0	5194702.0	5186927.0	5186927.0	5185477.0	5185477.0	4250952.0	4250952.0	285085.0	163194.0
SRR2221492	5017552.0	5017552.0	5010136.0	5010136.0	5008665.0	5008665.0	4190524.0	4190524.0	249585.0	146835.0
SRR2221621	5088155.0	5088155.0	5081571.0	5081571.0	5080132.0	5080132.0	4247478.0	4247478.0	247428.0	152016.0
SRR2221748	5104200.0	5104200.0	5098575.0	5098575.0	5097169.0	5097169.0	4246923.0	4246923.0	258707.0	152925.0
SRR2194943	4937385.0	4937385.0	4927553.0	4927553.0	4880974.0	4880974.0	3658918.0	3658918.0	399595.0	165300.0
SRR2194042	3032163.0	3032163.0	3027211.0	3027211.0	2935322.0	2935322.0	2175937.0	2175937.0	236260.0	91044.0
SRR2198979	6887076.0	6887076.0	6875564.0	6875564.0	6871220.0	6871220.0	5107486.0	5107486.0	556867.0	235435.0
SRR2198950	5943334.0	5943334.0	5934160.0	5934160.0	5932770.0	5932770.0	4323265.0	4323265.0	514529.0	206600.0
SRR2194622	5095085.0	5095085.0	5087802.0	5087802.0	5086433.0	5086433.0	3793747.0	3793747.0	422368.0	173896.0
SRR2199670	5612914.0	5612914.0	5604150.0	5604150.0	5603168.0	5603168.0	4154392.0	4154392.0	478243.0	179041.0
